location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost,ctr,conv_rate,cpa,cpc,eCPM,view_rate,vCPM
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Law and Government>Military,320x50,Sign up Today - 10% Off,Michigan,cars.com,Google Ad Manager,Smartphone,17582,56,9848,16558,12,6846.447915,0.003185075645546582,0.21428571428571427,570.53732625,122.25799848214285,389.40097343874413,0.5947578209928736,695.212014114541
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Travel>Bus and Rail,300x250,Sign up Now - 10% Off,New York,cars.com,BidSwitch,Windows PC,45711,130,23052,42375,11,6417.876169,0.002843954409223163,0.08461538461538462,583.443288090909,49.36827822307692,140.40113252827547,0.544,278.4086486638903
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Validated Demographic>Age>18-64,300x250,10% Discount - Ends 6/1,Michigan,cars.com,PubMatic,Windows PC,48562,150,29108,45570,11,6346.633024,0.003088834891478934,0.07333333333333333,576.9666385454545,42.31088682666667,130.69134351962438,0.638753565942506,218.03741321973342
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 25-44,300x250,Sign up Now - 10% Off,Tennessee,cars.com,Google Ad Manager,Apple PC,47394,184,22712,41918,24,4701.496237,0.0038823479765371146,0.13043478260869565,195.8956765416667,25.551609983695652,99.20024131746635,0.5418197433083639,207.00494174885526
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Purchase Behaviors>Q2 Environmentally Concerned Shoppers,320x50,Sign up Now - 10% Off,Tennessee,cars.com,Sovrn,Smartphone,66554,169,39206,62109,6,1890.885935,0.0025392914024701748,0.03550295857988166,315.1476558333333,11.188674171597633,28.41130412897797,0.6312450691526188,48.22950402999541
"Los Angeles, California",Los Angeles,California,Los Angeles,Travel and Tourism>Interest (Affinity)>Destinations>North America>United States,300x50,Subscribe Today - 10% Discount,California,cars.com,Google Ad Manager,Smartphone,9730,45,2971,5102,3,1778.937935,0.0046248715313463515,0.06666666666666667,592.9793116666666,39.53195411111111,182.83020914696812,0.5823206585652685,598.767396499495
"Chicago, Illinois",Chicago,Illinois,Chicago,Media and Entertainment>Connected TV and Over-the-Top (CTV and OTT)>Streaming Television and Film Viewership>OTT Movie Viewers>Genre>Crime Movie Streamers,300x250,Sign up Now - 10% Off,Illinois,cars.com,BidSwitch,Windows PC,69757,199,41258,65374,20,1510.61532,0.002852760296457703,0.10050251256281408,75.530766,7.59103175879397,21.655394010636925,0.6311071679872732,36.61387658151147
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,US Financial>Likely Attitude and Behavior>Bank Selection>Customer Service Very Important (Financial),300x50,Sign up Today - 10% Off,Florida,carscoops.com,PubMatic,Smartphone,8862,30,1359,7114,1,1481.945157,0.003385240352064997,0.03333333333333333,1481.945157,49.3981719,167.22468483412322,0.1910317683441102,1090.467370860927
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Sports>Individual Sports>Running and Walking,300x250,10% Discount - Ends 6/1,Tennessee,cbsnews.com,BidSwitch,Smartphone,7229,20,5668,6760,3,6812.588702,0.0027666343892654584,0.15,2270.8629006666665,340.6294351,942.3971091437267,0.8384615384615385,1201.938726534933
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,Online Behavior>United States>People and Society>Family and Relationships>Parents,320x50,Subscribe Today - 10% Discount,Florida,cbsnews.com,BidSwitch,Smartphone,115544,412,79182,109463,56,6721.094453,0.003565741189503566,0.13592233009708737,120.01954380357142,16.31333605097087,58.16913429516028,0.723367713291249,84.88159497107928
