location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,OnAudience>Interest>Education,320x50,Sign up Today - 10% Off,Florida,politico.com,BidSwitch,Smartphone,20165,60,6601,18909,10,1743.078687
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,OnAudience>Intent>Software,300x250,Sign up Today - 10% Off,Florida,politico.com,Google Ad Manager,Windows PC,22501,120,13003,21286,9,1522.517949
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Home and Garden>Kitchen and Dining,300x250,Subscribe Today - 10% Discount,Michigan,poshland.com,Index Exchange,Apple PC,123430,360,45294,77646,15,6808.562584
"Flint-Saginaw-Bay City, Michigan",Flint-Saginaw-Bay City,Michigan,Flint,US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>Eats at Family Restaurants,320x50,Subscribe Today - 10% Discount,Michigan,poshland.com,Google Ad Manager,Smartphone,268811,799,95989,173923,4,2549.115158
"Augusta, Georgia",Augusta,Georgia,Augusta,OnAudience>Intent>Baby & Toddler>Baby Toys,300x250,10% Discount - Ends 6/1,Georgia,poshland.com,Magnite DV+,Windows PC,16669,26,10961,15451,5,1658.358536
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Media and Entertainment>Television (TV),300x250,Subscribe Today - 10% Discount,Michigan,poshland.com,Google Ad Manager,Smartphone,9130,33,3721,5564,1,1655.792857
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Intent>Auto Buyers>Category>Caravan,300x250,10% Discount - Ends 6/1,Florida,ranker.com,Google Ad Manager,Smartphone,8097,20,4942,6868,1,6177.464545
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Reach>Propensity Models>Hobbies and Interest>Sports>Hunting Enthusiasts,300x250,Sign up Today - 10% Off,California,ranker.com,BidSwitch,Windows PC,65243,120,39543,54290,4,3754.685247
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>The Changing Consumer>CPG>General,300x250,Subscribe Today - 10% Discount,Tennessee,realtor.com,Google Ad Manager,Smartphone,224877,805,121175,213280,11,7360.992969
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Internet and Telecom>Web Apps and Online Tools,300x250,Sign up Today - 10% Off,New York,realtor.com,BidSwitch,Windows PC,109372,364,58336,103569,21,6928.006202
"Memphis, Tennessee",Memphis,Tennessee,Memphis,Online Behavior>United States>News>Local News,320x50,Sign up Today - 10% Off,Tennessee,realtor.com,Yahoo Exchange,Smartphone,44889,125,17477,38621,25,6644.954146
"Lansing, Michigan",Lansing,Michigan,Lansing,Online Behavior>United States>Intent>Auto Buyers>Car Make>Mercedes,320x50,Subscribe Today - 10% Discount,Michigan,realtor.com,Index Exchange,Smartphone,42459,121,15187,37408,11,6321.491689
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Sports>Individual Sports>Golf,300x250,Sign up Today - 10% Off,Florida,realtor.com,Index Exchange,Smartphone,69928,210,30196,62327,9,6318.413085
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Food and Drink>Beverages>Juice,320x50,Sign up Now - 10% Off,California,realtor.com,Google Ad Manager,Smartphone,40859,144,17695,37108,4,6130.368425
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Autos and Vehicles>Brands>Isuzu,300x250,10% Discount - Ends 6/1,Illinois,realtor.com,Index Exchange,Windows PC,16978,30,8367,15731,9,5886.071146
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Internet and Telecom>Web Services,320x50,Subscribe Today - 10% Discount,Florida,realtor.com,Magnite DV+,Smartphone,14581,45,3821,12741,6,5296.970091
